№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя,Посилання
125668274,Вирок,07.03.2025,08.04.2025,Кримінальне,544/2843/24,Пирятинський районний суд Полтавської області,,/Review/125668274
125670811,Вирок,07.03.2025,08.04.2025,Кримінальне,945/171/25,Миколаївський районний суд Миколаївської області,,/Review/125670811
125639057,Вирок,06.03.2025,07.04.2025,Кримінальне,489/2825/24,Інгульський районний суд міста Миколаєва,,/Review/125639057
125664087,Вирок,06.03.2025,08.04.2025,Кримінальне,564/2030/23,Костопільський районний суд Рівненської області,,/Review/125664087
125646770,Вирок,06.03.2025,08.04.2025,Кримінальне,944/5509/21,Яворівський районний суд Львівської області,,/Review/125646770
125727214,Вирок,06.03.2025,10.04.2025,Кримінальне,712/14084/24,Соснівський районний суд м. Черкаси,,/Review/125727214
125627384,Вирок,06.03.2025,07.04.2025,Кримінальне,504/3188/23,Доброславський районний суд Одеської області,,/Review/125627384
125647267,Вирок,06.03.2025,07.04.2025,Кримінальне,513/1579/24,Саратський районний суд Одеської області,,/Review/125647267
125629205,Вирок,06.03.2025,14.04.2025,Кримінальне,638/23763/24,Шевченківський районний суд міста Харкова,,/Review/125629205
125641482,Вирок,06.03.2025,16.06.2025,Кримінальне,293/744/24,Черняхівський районний суд Житомирської області,,/Review/125641482
125636105,Вирок,05.03.2025,,Кримінальне,646/13713/24,Основ’янський районний суд міста Харкова,,/Review/125636105
125653358,Вирок,05.03.2025,05.03.2025,Кримінальне,203/3502/23,Дніпровський апеляційний суд,,/Review/125653358
125592454,Вирок,05.03.2025,05.04.2025,Кримінальне,332/2771/23,Заводський районний суд м. Запоріжжя,,/Review/125592454
125636108,Вирок,05.03.2025,10.04.2025,Кримінальне,646/13713/24,Основ’янський районний суд міста Харкова,,/Review/125636108
125621035,Вирок,05.03.2025,15.04.2025,Кримінальне,336/11788/24,Шевченківський районний суд м. Запоріжжя,,/Review/125621035
126001709,Вирок,04.03.2025,,Кримінальне,490/2473/22,Центральний районний суд м. Миколаєва,,/Review/126001709
125633300,Вирок,04.03.2025,04.04.2025,Кримінальне,761/8652/24,Шевченківський районний суд міста Києва,,/Review/125633300
125570608,Вирок,04.03.2025,04.04.2025,Кримінальне,676/301/25,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/125570608
125524803,Вирок,03.03.2025,,Кримінальне,753/23441/24,Дарницький районний суд міста Києва,,/Review/125524803
125560109,Вирок,03.03.2025,03.03.2025,Кримінальне,636/2219/23,Харківський апеляційний суд,,/Review/125560109
125560134,Вирок,03.03.2025,03.03.2025,Кримінальне,636/2219/23,Харківський апеляційний суд,,/Review/125560134
126001711,Вирок,03.03.2025,,Кримінальне,490/1398/22,Центральний районний суд м. Миколаєва,,/Review/126001711
125541553,Вирок,03.03.2025,02.04.2025,Кримінальне,726/2499/24,Садгірський районний суд м. Чернівців,,/Review/125541553
125521558,Вирок,03.03.2025,29.04.2025,Кримінальне,559/4395/24,Рокитнівський районний суд Рівненської області,,/Review/125521558
126001714,Вирок,28.02.2025,,Кримінальне,490/1210/22,Центральний районний суд м. Миколаєва,,/Review/126001714
125489400,Вирок,28.02.2025,31.03.2025,Кримінальне,227/1153/23,Амур-Нижньодніпровський районний суд міста Дніпра,,/Review/125489400
125520107,Вирок,28.02.2025,01.04.2025,Кримінальне,357/5040/22,Білоцерківський міськрайонний суд Київської області,,/Review/125520107
125504072,Вирок,28.02.2025,01.04.2025,Кримінальне,672/858/24,Городоцький районний суд Хмельницької області,,/Review/125504072
125540959,Вирок,28.02.2025,31.03.2025,Кримінальне,636/1666/20,Чугуївський міський суд Харківської області,,/Review/125540959
125501903,Вирок,28.02.2025,01.04.2025,Кримінальне,303/834/25,Мукачівський міськрайонний суд Закарпатської області,,/Review/125501903
125605852,Вирок,27.02.2025,01.04.2025,Кримінальне,363/6715/24,Вишгородський районний суд Київської області,,/Review/125605852
125485390,Вирок,27.02.2025,01.04.2025,Кримінальне,619/10475/24,Дергачівський районний суд Харківської області,,/Review/125485390
125493041,Вирок,27.02.2025,04.04.2025,Кримінальне,712/17/25,Соснівський районний суд м. Черкаси,,/Review/125493041
125421667,Вирок,26.02.2025,31.03.2025,Кримінальне,357/7940/24,Білоцерківський міськрайонний суд Київської області,,/Review/125421667
125438678,Вирок,26.02.2025,29.03.2025,Кримінальне,944/2837/23,Яворівський районний суд Львівської області,,/Review/125438678
125429065,Вирок,26.02.2025,31.03.2025,Кримінальне,398/6788/24,Олександрійський міськрайонний суд Кіровоградської області,,/Review/125429065
125421960,Вирок,26.02.2025,28.03.2025,Кримінальне,375/1078/23,Рокитнянський районний суд Київської області,,/Review/125421960
125416879,Вирок,26.02.2025,28.03.2025,Кримінальне,466/525/25,Шевченківський районний суд м. Львова,,/Review/125416879
125394326,Вирок,25.02.2025,27.03.2025,Кримінальне,129/1464/24,Гайсинський районний суд Вінницької області,,/Review/125394326
125423621,Вирок,25.02.2025,28.03.2025,Кримінальне,712/1360/25,Соснівський районний суд м. Черкаси,,/Review/125423621
125398071,Вирок,24.02.2025,03.04.2025,Кримінальне,285/5490/24,Звягельський міськрайонний суд Житомирської області,,/Review/125398071
125325691,Вирок,21.02.2025,25.03.2025,Кримінальне,587/34/25,Сумський районний суд Сумської області,,/Review/125325691
125325840,Вирок,21.02.2025,25.03.2025,Кримінальне,750/2762/22,Деснянський районний суд м. Чернігова,,/Review/125325840
125324252,Вирок,21.02.2025,24.03.2025,Кримінальне,646/651/25,Основ’янський районний суд міста Харкова,,/Review/125324252
125363985,Вирок,20.02.2025,20.02.2025,Кримінальне,484/747/23,Миколаївський апеляційний суд,,/Review/125363985
125363987,Вирок,20.02.2025,20.02.2025,Кримінальне,484/747/23,Миколаївський апеляційний суд,,/Review/125363987
125280786,Вирок,20.02.2025,22.04.2025,Кримінальне,336/11542/24,Шевченківський районний суд м. Запоріжжя,,/Review/125280786
125284295,Вирок,19.02.2025,22.03.2025,Кримінальне,197/977/23,Криворізький районний суд Дніпропетровської області,,/Review/125284295
125253253,Вирок,19.02.2025,22.03.2025,Кримінальне,154/4337/24,Володимирський міський суд Волинської області,,/Review/125253253
125252266,Вирок,19.02.2025,02.04.2025,Кримінальне,463/1473/25,Личаківський районний суд м. Львова,,/Review/125252266
125234571,Вирок,18.02.2025,21.03.2025,Кримінальне,453/1148/24,Сколівський районний суд Львівської області,,/Review/125234571
125214581,Вирок,18.02.2025,21.03.2025,Кримінальне,125/2528/24,Барський районний суд Вінницької області,,/Review/125214581
125214580,Вирок,18.02.2025,21.03.2025,Кримінальне,125/2528/24,Барський районний суд Вінницької області,,/Review/125214580
125181612,Вирок,17.02.2025,20.03.2025,Кримінальне,636/8527/24,Шевченківський районний суд міста Харкова,,/Review/125181612
125154653,Вирок,14.02.2025,17.03.2025,Кримінальне,530/132/25,Зіньківський районний суд Полтавської області,,/Review/125154653
125148279,Вирок,14.02.2025,18.03.2025,Кримінальне,470/553/24,Березнегуватський районний суд Миколаївської області,,/Review/125148279
125249226,Вирок,14.02.2025,18.03.2025,Кримінальне,183/8021/23,Самарівський міськрайонний суд Дніпропетровської області,,/Review/125249226
125150447,Вирок,14.02.2025,18.03.2025,Кримінальне,751/713/25,Новозаводський районний суд м. Чернігова,,/Review/125150447
125131389,Вирок,13.02.2025,18.03.2025,Кримінальне,147/1623/24,Тростянецький районний суд Вінницької області,,/Review/125131389
125128668,Вирок,13.02.2025,18.03.2025,Кримінальне,524/15452/24,Автозаводський районний суд м. Кременчука,,/Review/125128668
125136895,Вирок,13.02.2025,18.03.2025,Кримінальне,734/3974/23,Козелецький районний суд Чернігівської області,,/Review/125136895
125163898,Вирок,13.02.2025,21.05.2025,Кримінальне,285/3841/24,Звягельський міськрайонний суд Житомирської області,,/Review/125163898
125095766,Вирок,12.02.2025,17.03.2025,Кримінальне,345/7043/24,Калуський міськрайонний суд Івано-Франківської області,,/Review/125095766
125294061,Вирок,12.02.2025,15.03.2025,Кримінальне,132/1986/23,Калинівський районний суд Вінницької області,,/Review/125294061
125091823,Вирок,12.02.2025,14.03.2025,Кримінальне,759/10449/24,Святошинський районний суд міста Києва,,/Review/125091823
125067113,Вирок,11.02.2025,14.03.2025,Кримінальне,712/12500/24,Золотоніський міськрайонний суд Черкаської області,,/Review/125067113
125056359,Вирок,11.02.2025,14.03.2025,Кримінальне,712/1043/25,Соснівський районний суд м. Черкаси,,/Review/125056359
125064202,Вирок,11.02.2025,17.06.2025,Кримінальне,484/6974/24,Первомайський міськрайонний суд Миколаївської області,,/Review/125064202
125099210,Вирок,11.02.2025,29.07.2025,Кримінальне,154/4022/24,Володимирський міський суд Волинської області,,/Review/125099210
125035643,Вирок,10.02.2025,12.03.2025,Кримінальне,461/890/25,Галицький районний суд м. Львова,,/Review/125035643
125002441,Вирок,07.02.2025,11.03.2025,Кримінальне,332/614/25,Заводський районний суд м. Запоріжжя,,/Review/125002441
124990792,Вирок,07.02.2025,11.03.2025,Кримінальне,357/9169/24,Білоцерківський міськрайонний суд Київської області,,/Review/124990792
124985090,Вирок,07.02.2025,10.03.2025,Кримінальне,391/506/24,Компаніївський районний суд Кіровоградської області,,/Review/124985090
124987367,Вирок,06.02.2025,,Кримінальне,587/638/25,Сумський районний суд Сумської області,,/Review/124987367
124962955,Вирок,06.02.2025,11.03.2025,Кримінальне,227/2748/23,Амур-Нижньодніпровський районний суд міста Дніпра,,/Review/124962955
124989256,Вирок,06.02.2025,11.03.2025,Кримінальне,154/1717/24,Володимирський міський суд Волинської області,,/Review/124989256
124973941,Вирок,06.02.2025,11.04.2025,Кримінальне,463/11558/24,Личаківський районний суд м. Львова,,/Review/124973941
124927157,Вирок,05.02.2025,10.03.2025,Кримінальне,638/23953/24,Шевченківський районний суд міста Харкова,,/Review/124927157
126001665,Вирок,05.02.2025,,Кримінальне,490/7509/21,Центральний районний суд м. Миколаєва,,/Review/126001665
126001667,Вирок,05.02.2025,,Кримінальне,490/9277/21,Центральний районний суд м. Миколаєва,,/Review/126001667
124906057,Вирок,04.02.2025,08.03.2025,Кримінальне,154/1674/24,Володимирський міський суд Волинської області,,/Review/124906057
124902406,Вирок,03.02.2025,05.03.2025,Кримінальне,466/12932/24,Шевченківський районний суд м. Львова,,/Review/124902406
124861368,Вирок,03.02.2025,06.03.2025,Кримінальне,183/10195/24,Самарівський міськрайонний суд Дніпропетровської області,,/Review/124861368
124885566,Вирок,03.02.2025,06.03.2025,Кримінальне,398/5631/24,Олександрійський міськрайонний суд Кіровоградської області,,/Review/124885566
124819608,Вирок,30.01.2025,,Кримінальне,465/2644/23,Франківський районний суд м. Львова,,/Review/124819608
124788681,Вирок,30.01.2025,04.03.2025,Кримінальне,460/2423/19,Яворівський районний суд Львівської області,,/Review/124788681
124800937,Вирок,30.01.2025,04.03.2025,Кримінальне,147/110/25,Тростянецький районний суд Вінницької області,,/Review/124800937
124786893,Вирок,30.01.2025,04.03.2025,Кримінальне,607/27597/24,Тернопільський міськрайонний суд Тернопільської області,,/Review/124786893
124796870,Вирок,30.01.2025,04.03.2025,Кримінальне,398/3316/24,Олександрійський міськрайонний суд Кіровоградської області,,/Review/124796870
125749069,Вирок,30.01.2025,,Кримінальне,490/601/22,Центральний районний суд м. Миколаєва,,/Review/125749069
125749070,Вирок,30.01.2025,,Кримінальне,490/1210/22,Центральний районний суд м. Миколаєва,,/Review/125749070
125193905,Вирок,30.01.2025,11.03.2025,Кримінальне,607/26764/24,Тернопільський міськрайонний суд Тернопільської області,,/Review/125193905
124761793,Вирок,29.01.2025,03.03.2025,Кримінальне,392/1297/24,Маловисківський районний суд Кіровоградської області,,/Review/124761793
124745285,Вирок,29.01.2025,03.03.2025,Кримінальне,465/9426/24,Франківський районний суд м. Львова,,/Review/124745285
124771305,Вирок,28.01.2025,28.02.2025,Кримінальне,944/857/21,Яворівський районний суд Львівської області,,/Review/124771305
124725102,Вирок,28.01.2025,28.02.2025,Кримінальне,183/8418/23,Самарівський міськрайонний суд Дніпропетровської області,,/Review/124725102
124711544,Вирок,27.01.2025,27.02.2025,Кримінальне,344/19376/24,Калуський міськрайонний суд Івано-Франківської області,,/Review/124711544
124678394,Вирок,27.01.2025,11.03.2025,Кримінальне,332/6923/23,Заводський районний суд м. Запоріжжя,,/Review/124678394
125749053,Вирок,27.01.2025,,Кримінальне,490/284/25,Центральний районний суд м. Миколаєва,,/Review/125749053
124692315,Вирок,27.01.2025,27.06.2025,Кримінальне,734/5789/24,Козелецький районний суд Чернігівської області,,/Review/124692315
124680684,Вирок,24.01.2025,,Кримінальне,465/101/23,Франківський районний суд м. Львова,,/Review/124680684
124678064,Вирок,24.01.2025,05.03.2025,Кримінальне,470/560/24,Березнегуватський районний суд Миколаївської області,,/Review/124678064
125749067,Вирок,24.01.2025,,Кримінальне,490/9884/19,Центральний районний суд м. Миколаєва,,/Review/125749067
124619559,Вирок,23.01.2025,24.02.2025,Кримінальне,289/2214/24,Радомишльський районний суд Житомирської області,,/Review/124619559
124661524,Вирок,23.01.2025,24.02.2025,Кримінальне,129/945/19,Гайсинський районний суд Вінницької області,,/Review/124661524
124630716,Вирок,23.01.2025,25.02.2025,Кримінальне,295/15589/23,Богунський районний суд м. Житомира,,/Review/124630716
124614562,Вирок,23.01.2025,25.02.2025,Кримінальне,303/9834/24,Мукачівський міськрайонний суд Закарпатської області,,/Review/124614562
124630060,Вирок,23.01.2025,25.02.2025,Кримінальне,154/2365/23,Володимирський міський суд Волинської області,,/Review/124630060
124626534,Вирок,23.01.2025,16.07.2025,Кримінальне,470/488/23,Березнегуватський районний суд Миколаївської області,,/Review/124626534
124615213,Вирок,22.01.2025,03.03.2025,Кримінальне,470/679/24,Березнегуватський районний суд Миколаївської області,,/Review/124615213
124584846,Вирок,21.01.2025,20.02.2025,Кримінальне,338/1584/24,Богородчанський районний суд Івано-Франківської області,,/Review/124584846
125749041,Вирок,21.01.2025,,Кримінальне,490/284/25,Центральний районний суд м. Миколаєва,,/Review/125749041
125749049,Вирок,21.01.2025,,Кримінальне,490/9278/21,Центральний районний суд м. Миколаєва,,/Review/125749049
124585304,Вирок,21.01.2025,21.02.2025,Кримінальне,367/12406/24,Ірпінський міський суд Київської області,,/Review/124585304
124579908,Вирок,21.01.2025,10.07.2025,Кримінальне,344/20792/24,Івано-Франківський міський суд Івано-Франківської області,,/Review/124579908
124505194,Вирок,20.01.2025,20.02.2025,Кримінальне,303/7798/24,Мукачівський міськрайонний суд Закарпатської області,,/Review/124505194
124518406,Вирок,20.01.2025,20.02.2025,Кримінальне,221/442/22,Чечелівський районний суд міста Дніпра,,/Review/124518406
124512340,Вирок,20.01.2025,20.02.2025,Кримінальне,619/6338/24,Дергачівський районний суд Харківської області,,/Review/124512340
124523598,Вирок,20.01.2025,20.02.2025,Кримінальне,278/208/25,Житомирський районний суд Житомирської області,,/Review/124523598
124523058,Вирок,20.01.2025,20.05.2025,Кримінальне,154/3843/24,Володимирський міський суд Волинської області,,/Review/124523058
124505762,Вирок,20.01.2025,10.07.2025,Кримінальне,470/720/24,Березнегуватський районний суд Миколаївської області,,/Review/124505762
124488894,Вирок,17.01.2025,18.02.2025,Кримінальне,278/30/25,Житомирський районний суд Житомирської області,,/Review/124488894
124488895,Вирок,17.01.2025,18.02.2025,Кримінальне,278/580/23,Житомирський районний суд Житомирської області,,/Review/124488895
125749032,Вирок,17.01.2025,,Кримінальне,490/284/25,Центральний районний суд м. Миколаєва,,/Review/125749032
124480697,Вирок,17.01.2025,27.03.2025,Кримінальне,405/7880/24,Подільський районний суд міста Кропивницького,,/Review/124480697
124443393,Вирок,16.01.2025,,Кримінальне,470/636/24,Березнегуватський районний суд Миколаївської області,,/Review/124443393
124480015,Вирок,15.01.2025,17.02.2025,Кримінальне,216/2727/24,Центрально-Міський районний суд м. Кривого Рогу,,/Review/124480015
124426708,Вирок,15.01.2025,15.02.2025,Кримінальне,676/3809/24,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/124426708
129525400,Вирок,15.01.2025,,Кримінальне,490/3245/22,Центральний районний суд м. Миколаєва,,/Review/129525400
124397885,Вирок,14.01.2025,14.02.2025,Кримінальне,204/114/25,Чечелівський районний суд міста Дніпра,,/Review/124397885
124387432,Вирок,14.01.2025,14.02.2025,Кримінальне,513/1608/23,Саратський районний суд Одеської області,,/Review/124387432
124388846,Вирок,14.01.2025,28.05.2025,Кримінальне,676/98/25,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/124388846
124345464,Вирок,10.01.2025,11.02.2025,Кримінальне,357/124/25,Білоцерківський міськрайонний суд Київської області,,/Review/124345464
124321884,Вирок,10.01.2025,14.02.2025,Кримінальне,607/14833/24,Тернопільський міськрайонний суд Тернопільської області,,/Review/124321884
124316556,Вирок,09.01.2025,11.02.2025,Кримінальне,676/91/25,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/124316556
124292986,Вирок,09.01.2025,11.02.2025,Кримінальне,154/779/24,Володимирський міський суд Волинської області,,/Review/124292986
124290674,Вирок,09.01.2025,13.05.2025,Кримінальне,470/1038/24,Березнегуватський районний суд Миколаївської області,,/Review/124290674
124266994,Вирок,08.01.2025,29.04.2025,Кримінальне,470/678/24,Березнегуватський районний суд Миколаївської області,,/Review/124266994
124316094,Вирок,07.01.2025,,Кримінальне,577/6492/23,Конотопський міськрайонний суд Сумської області,,/Review/124316094
124249060,Вирок,07.01.2025,07.02.2025,Кримінальне,638/21592/24,Шевченківський районний суд міста Харкова,,/Review/124249060
124255506,Вирок,07.01.2025,06.02.2025,Кримінальне,577/6492/23,Конотопський міськрайонний суд Сумської області,,/Review/124255506
124255092,Вирок,07.01.2025,14.02.2025,Кримінальне,470/556/24,Березнегуватський районний суд Миколаївської області,,/Review/124255092
124249053,Вирок,07.01.2025,07.02.2025,Кримінальне,638/21592/24,Шевченківський районний суд міста Харкова,,/Review/124249053
124255615,Вирок,07.01.2025,21.04.2025,Кримінальне,587/4326/24,Сумський районний суд Сумської області,,/Review/124255615
124232721,Вирок,06.01.2025,06.02.2025,Кримінальне,688/5432/24,Шепетівський міськрайонний суд Хмельницької області,,/Review/124232721
124198414,Вирок,02.01.2025,04.02.2025,Кримінальне,944/7122/24,Яворівський районний суд Львівської області,,/Review/124198414
124147746,Вирок,30.12.2024,,Кримінальне,490/2999/22,Центральний районний суд м. Миколаєва,,/Review/124147746
124147747,Вирок,30.12.2024,,Кримінальне,490/10905/24,Центральний районний суд м. Миколаєва,,/Review/124147747
124151662,Вирок,30.12.2024,23.04.2025,Кримінальне,295/18778/24,Богунський районний суд м. Житомира,,/Review/124151662
124227521,Вирок,27.12.2024,27.01.2025,Кримінальне,188/3111/24,Петропавлівський районний суд Дніпропетровської області,,/Review/124227521
124095511,Вирок,27.12.2024,27.01.2025,Кримінальне,188/3111/24,Петропавлівський районний суд Дніпропетровської області,,/Review/124095511
124066643,Вирок,26.12.2024,29.01.2025,Кримінальне,638/23762/24,Шевченківський районний суд міста Харкова,,/Review/124066643
124105440,Вирок,26.12.2024,30.01.2025,Кримінальне,635/3642/24,Харківський районний суд Харківської області,,/Review/124105440
124054430,Вирок,25.12.2024,27.01.2025,Кримінальне,539/5807/24,Лубенський міськрайонний суд Полтавської області,,/Review/124054430
124064492,Вирок,25.12.2024,25.01.2025,Кримінальне,760/4188/23,Солом'янський районний суд міста Києва,,/Review/124064492
124005337,Вирок,24.12.2024,24.01.2025,Кримінальне,154/4258/24,Володимирський міський суд Волинської області,,/Review/124005337
124005349,Вирок,24.12.2024,24.01.2025,Кримінальне,154/1485/24,Володимирський міський суд Волинської області,,/Review/124005349
123997938,Вирок,24.12.2024,24.01.2025,Кримінальне,154/3261/24,Володимирський міський суд Волинської області,,/Review/123997938
124013881,Вирок,24.12.2024,21.01.2025,Кримінальне,465/414/24,Франківський районний суд м. Львова,,/Review/124013881
124003553,Вирок,24.12.2024,24.01.2025,Кримінальне,753/23666/23,Дарницький районний суд міста Києва,,/Review/124003553
123977627,Вирок,23.12.2024,23.01.2025,Кримінальне,504/1512/23,Доброславський районний суд Одеської області,,/Review/123977627
123976380,Вирок,23.12.2024,23.01.2025,Кримінальне,469/1346/24,Березанський районний суд Миколаївської області,,/Review/123976380
123935698,Вирок,20.12.2024,,Кримінальне,522/12824/23,Приморський районний суд м. Одеси,,/Review/123935698
124015123,Вирок,20.12.2024,,Кримінальне,490/9277/21,Центральний районний суд м. Миколаєва,,/Review/124015123
124015125,Вирок,20.12.2024,,Кримінальне,490/1398/22,Центральний районний суд м. Миколаєва,,/Review/124015125
123920314,Вирок,20.12.2024,21.01.2025,Кримінальне,484/1643/23,Первомайський міськрайонний суд Миколаївської області,,/Review/123920314
124011395,Вирок,20.12.2024,20.01.2025,Кримінальне,930/3187/24,Немирівський районний суд Вінницької області,,/Review/124011395
123917454,Вирок,20.12.2024,21.01.2025,Кримінальне,154/4632/24,Володимирський міський суд Волинської області,,/Review/123917454
123910354,Вирок,20.12.2024,25.01.2025,Кримінальне,336/8388/24,Шевченківський районний суд м. Запоріжжя,,/Review/123910354
123917476,Вирок,20.12.2024,21.01.2025,Кримінальне,154/4576/24,Володимирський міський суд Волинської області,,/Review/123917476
123895521,Вирок,19.12.2024,,Кримінальне,490/5502/22,Центральний районний суд м. Миколаєва,,/Review/123895521
123877021,Вирок,19.12.2024,21.01.2025,Кримінальне,154/4259/24,Володимирський міський суд Волинської області,,/Review/123877021
123881114,Вирок,19.12.2024,21.01.2025,Кримінальне,363/2495/24,Вишгородський районний суд Київської області,,/Review/123881114
123932871,Вирок,19.12.2024,12.03.2025,Кримінальне,760/28221/24,Солом'янський районний суд міста Києва,,/Review/123932871
123932825,Вирок,19.12.2024,12.03.2025,Кримінальне,760/28221/24,Солом'янський районний суд міста Києва,,/Review/123932825
124157169,Вирок,18.12.2024,18.01.2025,Кримінальне,944/1879/24,Яворівський районний суд Львівської області,,/Review/124157169
123854351,Вирок,18.12.2024,18.01.2025,Кримінальне,689/1686/23,Ярмолинецький районний суд Хмельницької області,,/Review/123854351
123814061,Вирок,17.12.2024,31.01.2025,Кримінальне,470/675/24,Березнегуватський районний суд Миколаївської області,,/Review/123814061
123808015,Вирок,17.12.2024,20.01.2025,Кримінальне,759/25944/24,Святошинський районний суд міста Києва,,/Review/123808015
123895519,Вирок,16.12.2024,,Кримінальне,490/5502/22,Центральний районний суд м. Миколаєва,,/Review/123895519
123796156,Вирок,16.12.2024,16.01.2025,Кримінальне,189/2723/24,Покровський районний суд Дніпропетровської області,,/Review/123796156
123775651,Вирок,16.12.2024,16.01.2025,Кримінальне,945/186/22,Миколаївський районний суд Миколаївської області,,/Review/123775651
123895900,Вирок,13.12.2024,,Кримінальне,646/6591/23,Основ’янський районний суд міста Харкова,,/Review/123895900
123702827,Вирок,12.12.2024,,Кримінальне,504/4806/24,Доброславський районний суд Одеської області,,/Review/123702827
123702091,Вирок,12.12.2024,,Кримінальне,587/4591/24,Сумський районний суд Сумської області,,/Review/123702091
123709060,Вирок,12.12.2024,14.01.2025,Кримінальне,716/1420/24,Заставнівський районний суд Чернівецької області,,/Review/123709060
123685138,Вирок,11.12.2024,13.01.2025,Кримінальне,760/25670/24,Солом'янський районний суд міста Києва,,/Review/123685138
123677596,Вирок,11.12.2024,10.01.2025,Кримінальне,496/4774/24,Біляївський районний суд Одеської області,,/Review/123677596
123664661,Вирок,11.12.2024,11.01.2025,Кримінальне,317/6366/24,Запорізький районний суд Запорізької області,,/Review/123664661
123696632,Вирок,11.12.2024,13.01.2025,Кримінальне,465/5465/24,Франківський районний суд м. Львова,,/Review/123696632
123650059,Вирок,10.12.2024,10.01.2025,Кримінальне,748/619/24,Чернігівський районний суд Чернігівської області,,/Review/123650059
123626846,Вирок,10.12.2024,10.01.2025,Кримінальне,707/3474/24,Черкаський районний суд Черкаської області,,/Review/123626846
123777143,Вирок,10.12.2024,14.01.2025,Кримінальне,686/23114/22,Хмельницький міськрайонний суд Хмельницької області,,/Review/123777143
123683979,Вирок,10.12.2024,07.04.2025,Кримінальне,335/11444/23,Вознесенівський районний суд міста Запоріжжя,,/Review/123683979
123613907,Вирок,09.12.2024,09.01.2025,Кримінальне,750/2639/24,Деснянський районний суд м. Чернігова,,/Review/123613907
123610621,Вирок,09.12.2024,09.01.2025,Кримінальне,944/706/21,Яворівський районний суд Львівської області,,/Review/123610621
123668062,Вирок,09.12.2024,,Кримінальне,712/12844/24,Соснівський районний суд м. Черкаси,,/Review/123668062
123588835,Вирок,09.12.2024,09.04.2025,Кримінальне,484/3679/23,Первомайський міськрайонний суд Миколаївської області,,/Review/123588835
123649218,Вирок,06.12.2024,,Кримінальне,686/26422/24,Хмельницький міськрайонний суд Хмельницької області,,/Review/123649218
123568872,Вирок,06.12.2024,07.01.2025,Кримінальне,295/17426/24,Богунський районний суд м. Житомира,,/Review/123568872
123535379,Вирок,05.12.2024,,Кримінальне,278/5469/24,Житомирський районний суд Житомирської області,,/Review/123535379
123572872,Вирок,05.12.2024,07.01.2025,Кримінальне,243/111/24,Слов'янський міськрайонний суд Донецької області,,/Review/123572872
123533900,Вирок,05.12.2024,07.01.2025,Кримінальне,154/4923/23,Володимирський міський суд Волинської області,,/Review/123533900
123535949,Вирок,05.12.2024,07.01.2025,Кримінальне,348/2244/24,Надвірнянський районний суд Івано-Франківської області,,/Review/123535949
123532650,Вирок,05.12.2024,07.01.2025,Кримінальне,707/3374/24,Черкаський районний суд Черкаської області,,/Review/123532650
123502877,Вирок,04.12.2024,04.01.2025,Кримінальне,734/4781/24,Козелецький районний суд Чернігівської області,,/Review/123502877
123522844,Вирок,04.12.2024,03.01.2025,Кримінальне,930/2753/24,Немирівський районний суд Вінницької області,,/Review/123522844
123487976,Вирок,04.12.2024,03.01.2025,Кримінальне,212/6452/24,Покровський районний суд міста Кривого Рогу,,/Review/123487976
123645013,Вирок,04.12.2024,06.01.2025,Кримінальне,756/2458/24,Оболонський районний суд міста Києва,,/Review/123645013
123471314,Вирок,03.12.2024,03.12.2024,Кримінальне,473/3261/23,Миколаївський апеляційний суд,,/Review/123471314
123650265,Вирок,03.12.2024,03.12.2024,Кримінальне,473/3261/23,Миколаївський апеляційний суд,,/Review/123650265
123569079,Вирок,03.12.2024,05.05.2025,Кримінальне,346/2774/23,Коломийський міськрайонний суд Івано-Франківської області,,/Review/123569079
123447094,Вирок,02.12.2024,02.01.2025,Кримінальне,712/4727/22,Соснівський районний суд м. Черкаси,,/Review/123447094
123415972,Вирок,02.12.2024,02.01.2025,Кримінальне,748/4916/23,Чернігівський районний суд Чернігівської області,,/Review/123415972
123418990,Вирок,29.11.2024,30.12.2024,Кримінальне,189/2545/24,Покровський районний суд Дніпропетровської області,,/Review/123418990
123386913,Вирок,29.11.2024,31.12.2024,Кримінальне,199/9709/24,Амур-Нижньодніпровський районний суд міста Дніпра,,/Review/123386913
123427717,Вирок,29.11.2024,11.03.2025,Кримінальне,346/5843/24,Коломийський міськрайонний суд Івано-Франківської області,,/Review/123427717
123365405,Вирок,28.11.2024,31.12.2024,Кримінальне,243/9553/24,Слов'янський міськрайонний суд Донецької області,,/Review/123365405
123369763,Вирок,28.11.2024,06.01.2025,Кримінальне,589/3627/24,Шосткинський міськрайонний суд Сумської області,,/Review/123369763
123333704,Вирок,27.11.2024,,Кримінальне,676/7779/24,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/123333704
123359856,Вирок,27.11.2024,28.12.2024,Кримінальне,154/4120/24,Володимирський міський суд Волинської області,,/Review/123359856
123431319,Вирок,27.11.2024,28.12.2024,Кримінальне,953/10755/24,Київський районний суд м. Харкова,,/Review/123431319
123350910,Вирок,26.11.2024,26.11.2024,Кримінальне,183/12595/23,Дніпровський апеляційний суд,,/Review/123350910
